Posting_Date,Loan_No,Loan_Product_Type,Interest_Paid,Principle_Paid,Total_Paid
2025-02-20,A00109,INUKA6WKS,0,700,700
2025-02-25,A00337,INUKA6WKS,500,1167,1667
2025-02-26,A00103,BIASHARA4W,250,1250,1500
2025-02-26,A00109,INUKA6WKS,100,0,100
2025-02-26,A00148,BIASHARA6W,235,0,235
2025-02-26,A00150,BIASHARA6W,200,0,200
2025-02-27,A00104,BIASHARA4W,250,1250,1500
2025-02-27,A00108,BIASHARA4W,250,1250,1500
2025-02-27,A00109,INUKA6WKS,400,470,870
2025-02-27,A00117,BIASHARA6W,334,833,1167
2025-02-27,A00118,BIASHARA4W,250,1250,1500
2025-02-27,A00119,BIASHARA6W,334,466,800
2025-02-27,A00120,BIASHARA6W,334,833,1167
2025-02-27,A00148,BIASHARA6W,99,136,235
2025-02-27,A00164,INUKA 4WKS,500,200,700
2025-02-27,A00325,INUKA6WKS,500,1100,1600
2025-02-28,A00119,BIASHARA6W,0,367,367
2025-02-28,A00148,BIASHARA6W,0,235,235
2025-02-28,A00151,INUKA6WKS,500,0,500
2025-02-28,A00325,INUKA6WKS,0,70,70
2025-03-01,A00148,BIASHARA6W,0,235,235
2025-03-02,A00139,INUKA 4WKS,500,1750,2250
2025-03-02,A00140,INUKA6WKS,503,1167,1670
2025-03-02,A00141,BIASHARA6W,336,834,1170
2025-03-02,A00142,INUKA6WKS,503,1167,1670
2025-03-02,A00156,INUKA 4WKS,500,2000,2500
2025-03-03,A00148,BIASHARA6W,2,228,230
2025-03-03,A00149,INUKA6WKS,500,1140,1640
2025-03-03,A00336,INUKA6WKS,500,600,1100
2025-03-04,A00149,INUKA6WKS,0,30,30
2025-03-04,A00150,BIASHARA6W,134,833,967
2025-03-04,A00151,INUKA6WKS,3,1167,1170
2025-03-04,A00152,BIASHARA6W,334,833,1167
2025-03-04,A00336,INUKA6WKS,0,400,400
2025-03-05,A00103,BIASHARA4W,250,1250,1500
2025-03-05,A00109,INUKA6WKS,303,697,1000
2025-03-05,A00148,BIASHARA6W,235,0,235
2025-03-05,A00155,INUKA 4WKS,500,2000,2500
2025-03-05,A00165,INUKA 4WKS,550,1750,2300
2025-03-05,A00337,INUKA6WKS,500,680,1180
2025-03-06,A00108,BIASHARA4W,250,1250,1500
2025-03-06,A00109,INUKA6WKS,197,473,670
2025-03-06,A00117,BIASHARA6W,334,833,1167
2025-03-06,A00118,BIASHARA4W,250,1250,1500
2025-03-06,A00119,BIASHARA6W,334,833,1167
2025-03-06,A00148,BIASHARA6W,97,138,235
2025-03-06,A00172,BIASHARA4W,250,1250,1500
2025-03-06,A00173,BIASHARA4W,250,800,1050
2025-03-06,A00192,INUKA6WKS,280,0,280
2025-03-06,A00325,INUKA6WKS,503,1167,1670
2025-03-06,A00336,INUKA6WKS,500,200,700
2025-03-06,A00337,INUKA6WKS,3,487,490
2025-03-07,A00104,BIASHARA4W,250,1250,1500
2025-03-07,A00120,BIASHARA6W,334,833,1167
2025-03-07,A00163,INUKA 4WKS,500,1750,2250
2025-03-07,A00164,INUKA 4WKS,500,1750,2250
2025-03-07,A00170,INUKA6WKS,500,1100,1600
2025-03-07,A00173,BIASHARA4W,0,450,450
2025-03-07,A00192,INUKA6WKS,220,60,280
2025-03-07,A00199,BIASHARA6W,200,0,200
2025-03-07,A00336,INUKA6WKS,0,800,800
2025-03-08,A00148,BIASHARA6W,0,470,470
2025-03-08,A00171,INUKA6WKS,500,0,500
2025-03-08,A00199,BIASHARA6W,134,66,200
2025-03-08,A00202,BIASHARA6W,200,0,200
2025-03-09,A00139,INUKA 4WKS,500,1750,2250
2025-03-09,A00141,BIASHARA6W,332,168,500
2025-03-09,A00142,INUKA6WKS,503,1167,1670
2025-03-09,A00151,INUKA6WKS,170,0,170
2025-03-09,A00152,BIASHARA6W,334,833,1167
2025-03-09,A00170,INUKA6WKS,3,67,70
2025-03-09,A00178,INUKA 4WKS,500,1750,2250
2025-03-09,A00179,BIASHARA4W,250,1250,1500
2025-03-09,A00180,BIASHARA4W,250,1250,1500
2025-03-09,A00181,INUKA6WKS,500,500,1000
2025-03-09,A00199,BIASHARA6W,0,100,100
2025-03-10,A00140,INUKA6WKS,503,1167,1670
2025-03-10,A00141,BIASHARA6W,0,375,375
2025-03-10,A00148,BIASHARA6W,4,226,230
2025-03-10,A00151,INUKA6WKS,200,0,200
2025-03-10,A00181,INUKA6WKS,0,667,667
2025-03-10,A00183,INUKA6WKS,500,600,1100
2025-03-10,A00192,INUKA6WKS,0,400,400
2025-03-10,A00193,BIASHARA6W,334,66,400
2025-03-10,A00199,BIASHARA6W,0,100,100
2025-03-10,A00337,INUKA6WKS,497,503,1000
2025-03-11,A00149,INUKA6WKS,500,1170,1670
2025-03-11,A00151,INUKA6WKS,133,1167,1300
2025-03-11,A00183,INUKA6WKS,0,567,567
2025-03-11,A00194,BIASHARA6W,336,834,1170
2025-03-11,A00202,BIASHARA6W,134,166,300
2025-03-11,A00229,BIASHARA6W,200,0,200
2025-03-11,A00337,INUKA6WKS,0,400,400
2025-03-12,A00103,BIASHARA4W,250,1250,1500
2025-03-12,A00109,INUKA6WKS,106,694,800
2025-03-12,A00141,BIASHARA6W,4,291,295
2025-03-12,A00150,BIASHARA6W,334,366,700
2025-03-12,A00155,INUKA 4WKS,500,2000,2500
2025-03-12,A00156,INUKA 4WKS,500,2000,2500
2025-03-12,A00165,INUKA 4WKS,550,1750,2300
2025-03-12,A00190,INUKA 4WKS,500,1500,2000
2025-03-12,A00191,INUKA6WKS,500,1000,1500
2025-03-12,A00192,INUKA6WKS,280,707,987
2025-03-12,A00195,BIASHARA6W,334,833,1167
2025-03-12,A00199,BIASHARA6W,2,568,570
2025-03-12,A00229,BIASHARA6W,134,66,200
2025-03-12,A00337,INUKA6WKS,3,264,267
2025-03-13,A00104,BIASHARA4W,250,1250,1500
2025-03-13,A00109,INUKA6WKS,394,476,870
2025-03-13,A00117,BIASHARA6W,334,833,1167
2025-03-13,A00118,BIASHARA4W,250,1250,1500
2025-03-13,A00119,BIASHARA6W,334,66,400
2025-03-13,A00172,BIASHARA4W,250,1250,1500
2025-03-13,A00192,INUKA6WKS,220,60,280
2025-03-13,A00193,BIASHARA6W,12,768,780
2025-03-13,A00199,BIASHARA6W,170,0,170
2025-03-13,A00200,BIASHARA6W,334,833,1167
2025-03-13,A00207,INUKA6WKS,513,1167,1680
2025-03-13,A00208,BIASHARA4W,250,1250,1500
2025-03-13,A00229,BIASHARA6W,0,200,200
2025-03-13,A00325,INUKA6WKS,503,1167,1670
2025-03-13,A00336,INUKA6WKS,500,500,1000
2025-03-14,A00119,BIASHARA6W,0,767,767
2025-03-14,A00120,BIASHARA6W,334,833,1167
2025-03-14,A00164,INUKA 4WKS,0,1200,1200
2025-03-14,A00170,INUKA6WKS,497,403,900
2025-03-14,A00192,INUKA6WKS,0,200,200
2025-03-14,A00199,BIASHARA6W,100,0,100
2025-03-14,A00202,BIASHARA6W,0,337,337
2025-03-14,A00209,INUKA8WKS,515,875,1390
2025-03-14,A00210,BIASHARA6W,334,833,1167
2025-03-14,A00336,INUKA6WKS,0,500,500
2025-03-15,A00150,BIASHARA6W,0,200,200
2025-03-15,A00163,INUKA 4WKS,500,1750,2250
2025-03-15,A00164,INUKA 4WKS,400,350,750
2025-03-15,A00173,BIASHARA4W,250,1250,1500
2025-03-15,A00193,BIASHARA6W,250,0,250
2025-03-15,A00199,BIASHARA6W,62,38,100
2025-03-15,A00202,BIASHARA6W,0,210,210
2025-03-15,A00229,BIASHARA6W,0,400,400
2025-03-15,A00248,BIASHARA6W,200,0,200
2025-03-16,A00108,BIASHARA4W,250,450,700
2025-03-16,A00139,INUKA 4WKS,500,1750,2250
2025-03-16,A00141,BIASHARA6W,336,834,1170
2025-03-16,A00178,INUKA 4WKS,500,1750,2250
2025-03-16,A00179,BIASHARA4W,250,1250,1500
